Q2,Q3,Q4,Q6,Q7,Q46,Q48,Q49,Q50,Q52,Q55,Q56,Q57,Q59,Q60,Q71,Q72,Q84,Q85,Q86,Q87,Q88,Q89,DRNO,DHISP,DDIS,DAGEGRP,DSUPER,DFEDTEN,DSEX,DMIL,DLEAVING
1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,Y,1.0,1.0,1.0,1.0,1.0,C,B,B,B,A,B,B,B,C
5.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,5.0,2,3,5,5,2,4,5,Y,4.0,4.0,4.0,5.0,5.0,D,B,B,A,A,A,B,B,A
4.0,3.0,4.0,3.0,4.0,4,5.0,5.0,5.0,5.0,4,5,4,5,4,4,4,4,3.0,4.0,4.0,4.0,4.0,D,,,,,,,,
1.0,4.0,2.0,1.0,,5,5.0,,4.0,4.0,1,1,,1,1,3,5,X,3.0,5.0,4.0,5.0,,A,B,B,B,A,C,B,B,B
3.0,3.0,4.0,3.0,4.0,4,5.0,5.0,5.0,5.0,4,4,4,5,5,4,4,X,3.0,3.0,3.0,3.0,3.0,D,,,,B,C,,B,A
5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,3,5,5,4,3,4,4,X,5.0,5.0,5.0,5.0,5.0,B,B,B,B,B,C,A,B,D
3.0,3.0,4.0,3.0,3.0,3,3.0,3.0,3.0,3.0,2,3,3,3,3,3,4,4,3.0,3.0,3.0,3.0,4.0,B,B,B,B,A,C,A,B,A
3.0,5.0,3.0,3.0,3.0,5,5.0,5.0,5.0,5.0,1,4,4,4,3,5,5,5,4.0,5.0,5.0,5.0,5.0,B,B,A,B,A,A,A,A,C
2.0,2.0,2.0,3.0,3.0,2,3.0,3.0,3.0,2.0,1,2,3,1,1,4,3,X,3.0,3.0,2.0,3.0,3.0,C,B,B,B,A,C,B,B,A
4.0,5.0,5.0,2.0,5.0,4,5.0,5.0,4.0,4.0,3,5,5,4,5,4,4,4,4.0,4.0,5.0,5.0,5.0,B,B,A,A,A,A,A,B,D
3.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,Y,4.0,4.0,4.0,4.0,4.0,B,B,B,B,A,C,B,B,A
5.0,5.0,5.0,4.0,5.0,5,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,5.0,5.0,4.0,5.0,5.0,A,B,A,B,B,A,A,A,A
5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,B,A,B,B,B,B,A,B,A
5.0,5.0,5.0,5.0,5.0,4,5.0,5.0,5.0,5.0,5,5,5,5,5,4,4,5,5.0,5.0,5.0,5.0,5.0,B,B,B,B,A,B,B,B,A
3.0,3.0,2.0,3.0,5.0,2,4.0,5.0,4.0,5.0,3,3,3,X,3,4,4,3,3.0,4.0,3.0,4.0,4.0,B,B,B,B,A,C,B,B,A
5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,1,1,4,1,1,5,5,5,4.0,5.0,5.0,5.0,5.0,D,,,,,,B,A,C
4.0,4.0,4.0,4.0,5.0,5,5.0,5.0,5.0,4.0,4,5,4,4,4,5,5,X,4.0,4.0,4.0,4.0,4.0,B,B,B,B,B,C,A,B,A
1.0,1.0,2.0,1.0,3.0,1,1.0,4.0,3.0,3.0,1,1,1,1,1,5,4,1,1.0,1.0,1.0,3.0,4.0,B,B,B,B,A,B,B,B,B
